,Accuracy:,MCC Score:,F1 Score:,AUC VALUE:,kappa Score:,Precision:,Recall:
10FoldCV/AttentiveFP_CV_Fold0,0.8603773584905661,0.7206216740354564,0.8963585434173669,0.9544015766841853,0.6886609722795543,0.8163265306122449,0.9937888198757764
10FoldCV/AttentiveFP_CV_Fold1,0.8679245283018868,0.7360840388666622,0.8844884488448845,0.9630651477394091,0.7311827956989247,0.9305555555555556,0.8427672955974843
10FoldCV/AttentiveFP_CV_Fold2,0.8641509433962264,0.7351313842013335,0.8977272727272727,0.9548385188690406,0.7016512384288216,0.8144329896907216,1.0
10FoldCV/AttentiveFP_CV_Fold3,0.8830188679245283,0.7657237318850875,0.9111747851002866,0.9715178571428572,0.7433213560381191,0.8412698412698413,0.99375
10FoldCV/AttentiveFP_CV_Fold4,0.8754716981132076,0.7395441611851465,0.897196261682243,0.9611961552153792,0.7393364928909952,0.8888888888888888,0.9056603773584906
10FoldCV/AttentiveFP_CV_Fold5,0.8603773584905661,0.7280620077188706,0.8951841359773371,0.956465160298119,0.6928739232576351,0.8102564102564103,1.0
10FoldCV/AttentiveFP_CV_Fold6,0.8712121212121212,0.7332669426087479,0.89171974522293,0.957531814146197,0.7329048384217104,0.8805031446540881,0.9032258064516129
10FoldCV/AttentiveFP_CV_Fold7,0.875,0.7385998539056593,0.9048991354466858,0.9518881626724764,0.7248957938613112,0.8486486486486486,0.9691358024691358
10FoldCV/AttentiveFP_CV_Fold8,0.8787878787878788,0.7652038728864421,0.9064327485380117,0.9605208641609945,0.7385976855003403,0.8288770053475936,1.0
10FoldCV/AttentiveFP_CV_Fold9,0.875,0.7609891711569577,0.8865979381443299,0.9733615096136675,0.7492805341314608,0.9626865671641791,0.821656050955414
